Provider Name,Zip Code,Service Area,Service Area (SA),Provider Classification,Programs/Services,Age Group Served,Language/Cultures,Operation,Phone Number,Location 1
HARBOR VIEW ADOLESCENT CENTER,90813,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(562) 591-8701,"490 WEST 14TH ST.
LONG BEACH, California 90813
(33.78368318200006, -118.19788848399998)"
DEL AMO HOSPITAL,90505,8,SA 8 Harbor,INPATIENT,24 HR ACUTE,ADULT/CHILD,ENGLISH,FFS,(310) 530-1151,"23700 CAMINO DEL SOL
TORRANCE, California 90505
(33.80882865900003, -118.34417777999994)"
AURORA LAS ENCINAS HOSPITAL,91107,3,SA 3 San Gabriel Valley,INPATIENT,24 HR ACUTE,ADULT/CHILD/TAY,"ENGLISH, SPANISH",FFS,(626) 795-9901,"2900 EAST DEL MAR BLVD.
PASADENA, California 91107
(34.14213270500005, -118.09040939799996)"
LAUREL PARK,91768,3,SA 3 San Gabriel Valley,INSTITUTIONS FOR MENTAL DISEASE,MENTAL HEALTH SERVICES,ADULT,"ENGLISH, SPANISH",NGA,(909) 622-1069,"1425 WEST LAUREL AVE.
POMONA, California 91768
(34.06388816000003, -117.77339016799999)"
HOLLYWOOD COMMUNITY HOSPITAL,91401,2,SA 2 San Fernando Valley,INPATIENT,24 HR ACUTE,ADULT,ENGLISH,FFS,(323) 462-2271,"14433 EMELITA ST.
VAN NUYS, California 91401
(34.17666774300005, -118.44785989199994)"
GLENDALE ADVENTIST MEDICAL CENTER,91206,2,SA 2 San Fernando Valley,INPATIENT,24 HR ACUTE,ADULT,"ARABIC, ARMENIAN, ENGLISH",FFS,(818) 409-8027,"1509 WILSON TERRACE
GLENDALE, California 91206
(34.14950615600003, -118.23108802799999)"
TOBINWORLD,91205,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",NGA,(818) 242-8403,"920 EAST BROADWAY
GLENDALE, California 91205
(34.146233676000065, -118.24318929199995)"
VERDUGO MENTAL HEALTH CENTER,91205,2,SA 2 San Fernando Valley,OUTPATIENT,"COMMUNITY OUTREACH, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, DUTCH, FARSI, ENGLISH, GERMAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SPANISH, SWEDISH",NGA,(818) 244-7257,"1540 EAST COLORADO ST.
GLENDALE, California 91205
(34.14273582000004, -118.22995800799998)"
COUNSELING4KIDS,91502,2,SA 2 San Fernando Valley,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, BULGARIAN, ENGLISH, ITALIAN, PORTUGUESE, SPANISH",NGA,(818) 441-7800,"601 SOUTH GLEN OAKS BLVD. STE. 200
BURBANK, California 91502
(34.17919700200002, -118.30095778799995)"
SAN FERNANDO VALLEY CMHC-WRAPAROUND,91401,2,SA 2 San Fernando Valley,OUTPATIENT,"CRISIS INTERVENTION, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, FARSI, HEBREW, HINDI, SPANISH, TAGALOG",NGA,(818) 908-4999,"6305 WOODMAN AVE.
VAN NUYS, California 91401
(34.18498145600006, -118.43130275499999)"
